Time, HF1, HF2, TC1
06/29/16_08:37:58, 0.000000, 0.000000, 15.884662
06/29/16_08:37:59, 0.000000, 0.000000, 15.884662
06/29/16_08:38:01, 0.000000, 0.000000, 16.862178
06/29/16_08:38:03, 0.000000, 0.000000, 16.862178
06/29/16_08:38:04, 0.000000, 0.000000, 15.884662
06/29/16_08:38:05, 0.000000, 0.000000, 15.884662
06/29/16_08:38:07, 0.000000, 0.000000, 16.862178
06/29/16_08:38:09, 0.000000, 0.000000, 15.884662
06/29/16_08:38:10, 0.000000, 0.000000, 16.862178
06/29/16_08:38:12, 0.000000, 0.000000, 15.884662
06/29/16_08:38:13, 0.000000, 0.000000, 16.862178
06/29/16_08:38:15, 0.000000, 0.000000, 15.884662
06/29/16_08:38:16, 0.000000, 0.000000, 16.862178
06/29/16_08:38:18, 0.000000, 0.000000, 16.862178
06/29/16_08:38:19, 0.000000, 0.000000, 14.907146
06/29/16_08:38:21, 0.000000, 0.000000, 15.884662
06/29/16_08:38:22, 0.000000, 0.000000, 16.862178
06/29/16_08:38:24, 0.000000, 0.000000, 16.862178
06/29/16_08:38:25, 0.000000, 0.000000, 16.862178
06/29/16_08:38:27, 0.000000, 0.000000, 16.862178
06/29/16_08:38:29, 0.000000, 0.000000, 22.727275
06/29/16_08:38:30, 0.000000, 0.000000, 16.862178
06/29/16_08:38:32, 0.000000, 0.000000, 15.884662
06/29/16_08:38:33, 0.000000, 0.000000, 16.862178
06/29/16_08:38:34, 0.000000, 0.000000, 16.862178
06/29/16_08:38:36, 0.000000, 0.000000, 15.884662
06/29/16_08:38:38, 0.000000, 0.000000, 15.884662
06/29/16_08:38:39, 0.000000, 0.000000, 15.884662
06/29/16_08:38:41, 0.000000, 0.000000, 15.884662
06/29/16_08:38:42, 0.000000, 0.000000, 15.884662
06/29/16_08:38:44, 0.000000, 0.000000, 15.884662
06/29/16_08:38:45, 0.000000, 0.000000, 16.862178
06/29/16_08:38:46, 0.000000, 0.000000, 15.884662
06/29/16_08:38:48, 0.000000, 0.000000, 16.862178
06/29/16_08:38:50, 0.000000, 0.000000, 15.884662
06/29/16_08:38:51, 0.000000, 0.000000, 15.884662
06/29/16_08:38:53, 0.000000, 0.000000, 15.884662
06/29/16_08:38:54, 0.000000, 0.000000, 15.884662
06/29/16_08:38:56, 0.000000, 0.000000, 15.884662
06/29/16_08:38:57, 0.000000, 0.000000, 15.884662
06/29/16_08:38:59, 0.000000, 0.000000, 15.884662
06/29/16_08:39:00, 0.000000, 0.000000, 15.884662
06/29/16_08:39:02, 0.000000, 0.000000, 16.862178
06/29/16_08:39:03, 0.000000, 0.000000, 15.884662
06/29/16_08:39:05, 0.000000, 0.000000, 16.862178
06/29/16_08:39:06, 0.000000, 0.000000, 16.862178
06/29/16_08:39:08, 0.000000, 0.000000, 16.862178
06/29/16_08:39:10, 0.000000, 0.000000, 16.862178
06/29/16_08:39:11, 0.000000, 0.000000, 16.862178
06/29/16_08:39:13, 0.000000, 0.000000, 16.862178
06/29/16_08:39:14, 0.000000, 0.000000, 16.862178
06/29/16_08:39:16, 0.000000, 0.000000, 16.862178
06/29/16_08:39:17, 0.000000, 0.000000, 23.704792
06/29/16_08:39:19, 0.000000, 0.000000, 16.862178
06/29/16_08:39:21, 0.000000, 0.000000, 22.727275
06/29/16_08:39:22, 0.000000, 0.000000, 16.862178
06/29/16_08:39:24, 0.000000, 0.000000, 16.862178
06/29/16_08:39:25, 0.000000, 0.000000, 16.862178
06/29/16_08:39:27, 0.000000, 0.000000, 16.862178
06/29/16_08:39:28, 0.000000, 0.000000, 16.862178
06/29/16_08:39:30, 0.000000, 0.000000, 16.862178
06/29/16_08:39:31, 0.000000, 0.000000, 15.884662
06/29/16_08:39:33, 0.000000, 0.000000, 16.862178
06/29/16_08:39:34, 0.000000, 0.000000, 16.862178
06/29/16_08:39:36, 0.000000, 0.000000, 15.884662
06/29/16_08:39:37, 0.000000, 0.000000, 16.862178
06/29/16_08:39:39, 0.000000, 0.000000, 16.862178
06/29/16_08:39:40, 0.000000, 0.000000, 16.862178
06/29/16_08:39:42, 0.000000, 0.000000, 16.862178
06/29/16_08:39:43, 0.000000, 0.000000, 16.862178
06/29/16_08:39:45, 0.000000, 0.000000, 16.862178
06/29/16_08:39:46, 0.000000, 0.000000, 16.862178
06/29/16_08:39:48, 0.000000, 0.000000, 16.862178
06/29/16_08:39:49, 0.000000, 0.000000, 16.862178
06/29/16_08:39:51, 0.000000, 0.000000, 16.862178
06/29/16_08:39:52, 0.000000, 0.000000, 15.884662
06/29/16_08:39:54, 0.000000, 0.000000, 16.862178
06/29/16_08:39:56, 0.000000, 0.000000, 16.862178
06/29/16_08:39:57, 0.000000, 0.000000, 15.884662
06/29/16_08:39:58, 0.000000, 0.000000, 16.862178
06/29/16_08:40:00, 0.000000, 0.000000, 16.862178
06/29/16_08:40:01, 0.000000, 0.000000, 15.884662
06/29/16_08:40:03, 0.000000, 0.000000, 15.884662
06/29/16_08:40:04, 0.000000, 0.000000, 15.884662
06/29/16_08:40:06, 0.000000, 0.000000, 15.884662
06/29/16_08:40:07, 0.000000, 0.000000, 16.862178
06/29/16_08:40:09, 0.000000, 0.000000, 16.862178
06/29/16_08:40:10, 0.000000, 0.000000, 16.862178
06/29/16_08:40:12, 0.000000, 0.000000, 14.907146
06/29/16_08:40:13, 0.000000, 0.000000, 15.884662
06/29/16_08:40:15, 0.000000, 0.000000, 15.884662
06/29/16_08:40:16, 0.000000, 0.000000, 15.884662
06/29/16_08:40:18, 0.000000, 0.000000, 15.884662
06/29/16_08:40:19, 0.000000, 0.000000, 15.884662
06/29/16_08:40:21, 0.000000, 0.000000, 16.862178
06/29/16_08:40:22, 0.000000, 0.000000, 16.862178
06/29/16_08:40:24, 0.000000, 0.000000, 15.884662
06/29/16_08:40:25, 0.000000, 0.000000, 15.884662
06/29/16_08:40:27, 0.000000, 0.000000, 15.884662
06/29/16_08:40:28, 0.000000, 0.000000, 15.884662
06/29/16_08:40:30, 0.000000, 0.000000, 15.884662
06/29/16_08:40:32, 0.000000, 0.000000, 15.884662
06/29/16_08:40:33, 0.000000, 0.000000, 16.862178
06/29/16_08:40:35, 0.000000, 0.000000, 15.884662
06/29/16_08:40:36, 0.000000, 0.000000, 15.884662
06/29/16_08:40:38, 0.000000, 0.000000, 15.884662
06/29/16_08:40:39, 0.000000, 0.000000, 16.862178
06/29/16_08:40:41, 0.000000, 0.000000, 16.862178
06/29/16_08:40:42, 0.000000, 0.000000, 16.862178
06/29/16_08:40:44, 0.000000, 0.000000, 15.884662
06/29/16_08:40:45, 0.000000, 0.000000, 16.862178
06/29/16_08:40:47, 0.000000, 0.000000, 15.884662
06/29/16_08:40:48, 0.000000, 0.000000, 15.884662
06/29/16_08:40:50, 0.000000, 0.000000, 15.884662
06/29/16_08:40:51, 0.000000, 0.000000, 15.884662
06/29/16_08:40:53, 0.000000, 0.000000, 16.862178
06/29/16_08:40:54, 0.000000, 0.000000, 15.884662
06/29/16_08:40:56, 0.000000, 0.000000, 15.884662
06/29/16_08:40:57, 0.000000, 0.000000, 16.862178
06/29/16_08:40:59, 0.000000, 0.000000, 15.884662
06/29/16_08:41:00, 0.000000, 0.000000, 15.884662
06/29/16_08:41:02, 0.000000, 0.000000, 16.862178
06/29/16_08:41:03, 0.000000, 0.000000, 15.884662
06/29/16_08:41:05, 0.000000, 0.000000, 15.884662
06/29/16_08:41:06, 0.000000, 0.000000, 15.884662
06/29/16_08:41:08, 0.000000, 0.000000, 16.862178
06/29/16_08:41:09, 0.000000, 0.000000, 15.884662
06/29/16_08:41:11, 0.000000, 0.000000, 16.862178
06/29/16_08:41:12, 0.000000, 0.000000, 15.884662
06/29/16_08:41:14, 0.000000, 0.000000, 16.862178
06/29/16_08:41:16, 0.000000, 0.000000, 16.862178
06/29/16_08:41:17, 0.000000, 0.000000, 16.862178
06/29/16_08:41:19, 0.000000, 0.000000, 16.862178
06/29/16_08:41:20, 0.000000, 0.000000, 16.862178
06/29/16_08:41:21, 0.000000, 0.000000, 16.862178
06/29/16_08:41:23, 0.000000, 0.000000, 16.862178
06/29/16_08:41:24, 0.000000, 0.000000, 16.862178
06/29/16_08:41:26, 0.000000, 0.000000, 16.862178
06/29/16_08:41:27, 0.000000, 0.000000, 15.884662
06/29/16_08:41:29, 0.000000, 0.000000, 16.862178
06/29/16_08:41:30, 0.000000, 0.000000, 16.862178
06/29/16_08:41:32, 0.000000, 0.000000, 16.862178
06/29/16_08:41:33, 0.000000, 0.000000, 16.862178
06/29/16_08:41:35, 0.000000, 0.000000, 16.862178
06/29/16_08:41:36, 0.000000, 0.000000, 15.884662
06/29/16_08:41:38, 0.000000, 0.000000, 15.884662
06/29/16_08:41:39, 0.000188, 0.000000, 16.862178
06/29/16_08:41:41, 0.000000, 0.000000, 16.862178
06/29/16_08:41:42, 0.000000, 0.000000, 16.862178
06/29/16_08:41:44, 0.000000, 0.000000, 15.884662
06/29/16_08:41:45, 0.000000, 0.000000, 16.862178
06/29/16_08:41:47, 0.000000, 0.000000, 16.862178
06/29/16_08:41:49, 0.000000, 0.000000, 16.862178
06/29/16_08:41:50, 0.000000, 0.000000, 15.884662
06/29/16_08:41:52, 0.000000, 0.000000, 16.862178
06/29/16_08:41:53, 0.000000, 0.000000, 15.884662
06/29/16_08:41:55, 0.000000, 0.000000, 15.884662
06/29/16_08:41:56, 0.000000, 0.000000, 15.884662
06/29/16_08:41:58, 0.000000, 0.000000, 16.862178
06/29/16_08:41:59, 0.000000, 0.000000, 15.884662
06/29/16_08:42:01, 0.000000, 0.000000, 15.884662
06/29/16_08:42:02, 0.000000, 0.000000, 16.862178
06/29/16_08:42:04, 0.000000, 0.000000, 16.862178
06/29/16_08:42:05, 0.000000, 0.000000, 16.862178
06/29/16_08:42:07, 0.000000, 0.000000, 16.862178
06/29/16_08:42:08, 0.000000, 0.000000, 16.862178
06/29/16_08:42:10, 0.000000, 0.000000, 18.817211
06/29/16_08:42:11, 0.000000, 0.000000, 16.862178
06/29/16_08:42:13, 0.000000, 0.000000, 16.862178
06/29/16_08:42:14, 0.000000, 0.000000, 15.884662
06/29/16_08:42:16, 0.000000, 0.000000, 15.884662
06/29/16_08:42:17, 0.000000, 0.000000, 16.862178
06/29/16_08:42:19, 0.000000, 0.000000, 16.862178
06/29/16_08:42:20, 0.000000, 0.000000, 15.884662
06/29/16_08:42:22, 0.000000, 0.000000, 15.884662
06/29/16_08:42:23, 0.000188, 0.000000, 16.862178
06/29/16_08:42:25, 0.000000, 0.000000, 15.884662
06/29/16_08:42:26, 0.000000, 0.000000, 16.862178
06/29/16_08:42:28, 0.000000, 0.000000, 15.884662
06/29/16_08:42:29, 0.000000, 0.000000, 15.884662
06/29/16_08:42:31, 0.000000, 0.000000, 16.862178
06/29/16_08:42:32, 0.000000, 0.000000, 15.884662
06/29/16_08:42:34, 0.000000, 0.000000, 15.884662
06/29/16_08:42:35, 0.000000, 0.000000, 15.884662
06/29/16_08:42:37, 0.000000, 0.000000, 15.884662
06/29/16_08:42:38, 0.000000, 0.000000, 15.884662
06/29/16_08:42:40, 0.000000, 0.000000, 15.884662
06/29/16_08:42:41, 0.000000, 0.000000, 15.884662
06/29/16_08:42:43, 0.000000, 0.000000, 15.884662
06/29/16_08:42:44, 0.000000, 0.000000, 15.884662
06/29/16_08:42:46, 0.000000, 0.000000, 16.862178
06/29/16_08:42:47, 0.000000, 0.000000, 15.884662
06/29/16_08:42:49, 0.000000, 0.000000, 16.862178
06/29/16_08:42:50, 0.000000, 0.000000, 16.862178
06/29/16_08:42:52, 0.000000, 0.000000, 15.884662
06/29/16_08:42:53, 0.000000, 0.000000, 15.884662
06/29/16_08:42:55, 0.000000, 0.000000, 15.884662
06/29/16_08:42:56, 0.000000, 0.000000, 15.884662
06/29/16_08:42:58, 0.000000, 0.000000, 15.884662
06/29/16_08:42:59, 0.000000, 0.000000, 22.727275
06/29/16_08:43:01, 0.000000, 0.000000, 12.952114
06/29/16_08:43:02, 0.000000, 0.000000, 15.884662
06/29/16_08:43:04, 0.000000, 0.000000, 15.884662
06/29/16_08:43:05, 0.000000, 0.000000, 15.884662
06/29/16_08:43:07, 0.000000, 0.000000, 15.884662
06/29/16_08:43:08, 0.000000, 0.000000, 16.862178
06/29/16_08:43:10, 0.000000, 0.000000, 15.884662
06/29/16_08:43:11, 0.000000, 0.000000, 15.884662
06/29/16_08:43:13, 0.000000, 0.000000, 15.884662
06/29/16_08:43:14, 0.000000, 0.000000, 15.884662
06/29/16_08:43:16, 0.000000, 0.000000, 20.772243
06/29/16_08:43:17, 0.000000, 0.000000, 15.884662
06/29/16_08:43:19, 0.000000, 0.000000, 16.862178
06/29/16_08:43:20, 0.000000, 0.000000, 16.862178
06/29/16_08:43:22, 0.000000, 0.000000, 16.862178
06/29/16_08:43:23, 0.000000, 0.000000, 16.862178
06/29/16_08:43:25, 0.000000, 0.000000, 15.884662
06/29/16_08:43:26, 0.000000, 0.000000, 16.862178
06/29/16_08:43:28, 0.000000, 0.000000, 15.884662
06/29/16_08:43:29, 0.000000, 0.000000, 15.884662
06/29/16_08:43:31, 0.000000, 0.000000, 15.884662
06/29/16_08:43:32, 0.000000, 0.000000, 15.884662
06/29/16_08:43:34, 0.000000, 0.000000, 16.862178
06/29/16_08:43:35, 0.000000, 0.000000, 16.862178
06/29/16_08:43:37, 0.000000, 0.000000, 16.862178
06/29/16_08:43:38, 0.000000, 0.000000, 16.862178
06/29/16_08:43:40, 0.000000, 0.000000, 16.862178
06/29/16_08:43:42, 0.000000, 0.000000, 16.862178
06/29/16_08:43:43, 0.000000, 0.000000, 16.862178
06/29/16_08:43:44, 0.000000, 0.000000, 16.862178
06/29/16_08:43:46, 0.000000, 0.000000, 15.884662
06/29/16_08:43:47, 0.000000, 0.000000, 15.884662
06/29/16_08:43:49, 0.000000, 0.000000, 16.862178
06/29/16_08:43:51, 0.000000, 0.000000, 16.862178
06/29/16_08:43:52, 0.000000, 0.000000, 16.862178
06/29/16_08:43:54, 0.000000, 0.000000, 16.862178
06/29/16_08:43:55, 0.000000, 0.000000, 17.839694
06/29/16_08:43:57, 0.000000, 0.000000, 15.884662
06/29/16_08:43:58, 0.000000, 0.000000, 15.884662
06/29/16_08:44:00, 0.000000, 0.000000, 15.884662
06/29/16_08:44:01, 0.000000, 0.000000, 15.884662
06/29/16_08:44:03, 0.000000, 0.000000, 15.884662
06/29/16_08:44:04, 0.000000, 0.000000, 15.884662
06/29/16_08:44:06, 0.000000, 0.000000, 15.884662
06/29/16_08:44:07, 0.000000, 0.000000, 16.862178
06/29/16_08:44:09, 0.000000, 0.000000, 15.884662
06/29/16_08:44:10, 0.000000, 0.000000, 15.884662
06/29/16_08:44:12, 0.000000, 0.000000, 15.884662
06/29/16_08:44:13, 0.000000, 0.000000, 15.884662
06/29/16_08:44:15, 0.000000, 0.000000, 16.862178
06/29/16_08:44:16, 0.000000, 0.000000, 15.884662
06/29/16_08:44:18, 0.000000, 0.000000, 15.884662
06/29/16_08:44:19, 0.000000, 0.000000, 15.884662
06/29/16_08:44:21, 0.000000, 0.000000, 15.884662
06/29/16_08:44:23, 0.000000, 0.000000, 28.592372
06/29/16_08:44:24, 0.000000, 0.000000, 15.884662
06/29/16_08:44:26, 0.000000, 0.000000, 15.884662
06/29/16_08:44:27, 0.000000, 0.000000, 15.884662
06/29/16_08:44:29, 0.000000, 0.000000, 15.884662
06/29/16_08:44:30, 0.000000, 0.000000, 15.884662
06/29/16_08:44:31, 0.000000, 0.000000, 15.884662
06/29/16_08:44:33, 0.000000, 0.000000, 15.884662
06/29/16_08:44:34, 0.000000, 0.000000, 15.884662
06/29/16_08:44:36, 0.000000, 0.000000, 15.884662
06/29/16_08:44:38, 0.000000, 0.000000, 15.884662
06/29/16_08:44:39, 0.000000, 0.000000, 16.862178
06/29/16_08:44:41, 0.000000, 0.000000, 16.862178
06/29/16_08:44:42, 0.000000, 0.000000, 16.862178
06/29/16_08:44:44, 0.000000, 0.000000, 15.884662
06/29/16_08:44:45, 0.000000, 0.000000, 15.884662
06/29/16_08:44:47, 0.000000, 0.000000, 15.884662
06/29/16_08:44:48, 0.000000, 0.000000, 15.884662
06/29/16_08:44:50, 0.000000, 0.000000, 15.884662
06/29/16_08:44:51, 0.000000, 0.000000, 15.884662
06/29/16_08:44:53, 0.000000, 0.000000, 15.884662
06/29/16_08:44:54, 0.000000, 0.000000, 15.884662
06/29/16_08:44:56, 0.000000, 0.000000, 16.862178
06/29/16_08:44:57, 0.000000, 0.000000, 15.884662
06/29/16_08:44:59, 0.000000, 0.000000, 15.884662
06/29/16_08:45:01, 0.000000, 0.000000, 15.884662
06/29/16_08:45:02, 0.000000, 0.000000, 14.907146
06/29/16_08:45:04, 0.000000, 0.000000, 15.884662
06/29/16_08:45:05, 0.000000, 0.000000, 16.862178
06/29/16_08:45:06, 0.000000, 0.000000, 15.884662
06/29/16_08:45:08, 0.000000, 0.000000, 15.884662
06/29/16_08:45:10, 0.000000, 0.000000, 15.884662
06/29/16_08:45:11, 0.000000, 0.000000, 15.884662
06/29/16_08:45:13, 0.000000, 0.000000, 15.884662
06/29/16_08:45:14, 0.000000, 0.000000, 15.884662
06/29/16_08:45:16, 0.000000, 0.000000, 15.884662
06/29/16_08:45:17, 0.000000, 0.000000, 15.884662
06/29/16_08:45:19, 0.000000, 0.000000, 15.884662
06/29/16_08:45:20, 0.000000, 0.000000, 15.884662
06/29/16_08:45:22, 0.000000, 0.000000, 15.884662
06/29/16_08:45:23, 0.000000, 0.000000, 16.862178
06/29/16_08:45:25, 0.000000, 0.000000, 15.884662
06/29/16_08:45:26, 0.000000, 0.000000, 15.884662
06/29/16_08:45:28, 0.000000, 0.000000, 15.884662
06/29/16_08:45:29, 0.000000, 0.000000, 16.862178
06/29/16_08:45:31, 0.000000, 0.000000, 15.884662
06/29/16_08:45:32, 0.000000, 0.000000, 15.884662
06/29/16_08:45:34, 0.000000, 0.000000, 15.884662
06/29/16_08:45:35, 0.000000, 0.000000, 16.862178
06/29/16_08:45:37, 0.000000, 0.000000, 15.884662
06/29/16_08:45:38, 0.000000, 0.000000, 15.884662
06/29/16_08:45:40, 0.000000, 0.000000, 15.884662
06/29/16_08:45:41, 0.000000, 0.000000, 16.862178
06/29/16_08:45:43, 0.000188, 0.000000, 16.862178
06/29/16_08:45:44, 0.000000, 0.000000, 16.862178
06/29/16_08:45:46, 0.000000, 0.000000, 16.862178
06/29/16_08:45:47, 0.000000, 0.000000, 15.884662
06/29/16_08:45:49, 0.000000, 0.000000, 16.862178
06/29/16_08:45:50, 0.000000, 0.000000, 16.862178
06/29/16_08:45:52, 0.000000, 0.000000, 15.884662
06/29/16_08:45:53, 0.000000, 0.000000, 15.884662
06/29/16_08:45:55, 0.000000, 0.000000, 16.862178
06/29/16_08:45:56, 0.000000, 0.000000, 16.862178
06/29/16_08:45:58, 0.000000, 0.000000, 15.884662
06/29/16_08:45:59, 0.000000, 0.000000, 16.862178
06/29/16_08:46:01, 0.000000, 0.000000, 15.884662
06/29/16_08:46:02, 0.000000, 0.000000, 16.862178
06/29/16_08:46:03, 0.000000, 0.000000, 15.884662
06/29/16_08:46:05, 0.000000, 0.000000, 15.884662
06/29/16_08:46:06, 0.000000, 0.000000, 16.862178
06/29/16_08:46:08, 0.000000, 0.000000, 16.862178
06/29/16_08:46:09, 0.000000, 0.000000, 16.862178
06/29/16_08:46:11, 0.000000, 0.000000, 15.884662
06/29/16_08:46:12, 0.000000, 0.000000, 16.862178
06/29/16_08:46:14, 0.000000, 0.000000, 16.862178
06/29/16_08:46:15, 0.000000, 0.000000, 19.794727
06/29/16_08:46:17, 0.000000, 0.000000, 16.862178
06/29/16_08:46:18, 0.000000, 0.000000, 15.884662
06/29/16_08:46:20, 0.000000, 0.000000, 15.884662
06/29/16_08:46:21, 0.000000, 0.000000, 16.862178
06/29/16_08:46:23, 0.000000, 0.000000, 15.884662
06/29/16_08:46:24, 0.000000, 0.000000, 16.862178
06/29/16_08:46:26, 0.000000, 0.000000, 15.884662
06/29/16_08:46:27, 0.000000, 0.000000, 16.862178
06/29/16_08:46:29, 0.000000, 0.000000, 15.884662
06/29/16_08:46:30, 0.000000, 0.000000, 15.884662
06/29/16_08:46:32, 0.000000, 0.000000, 15.884662
06/29/16_08:46:34, 0.000000, 0.000000, 16.862178
06/29/16_08:46:35, 0.000000, 0.000000, 16.862178
06/29/16_08:46:37, 0.000000, 0.000000, 16.862178
06/29/16_08:46:38, 0.000000, 0.000000, 16.862178
06/29/16_08:46:40, 0.000000, 0.000000, 16.862178
06/29/16_08:46:41, 0.000000, 0.000000, 16.862178
06/29/16_08:46:43, 0.000000, 0.000000, 16.862178
06/29/16_08:46:44, 0.000000, 0.000000, 15.884662
06/29/16_08:46:46, 0.000000, 0.000000, 15.884662
06/29/16_08:46:47, 0.000000, 0.000000, 15.884662
06/29/16_08:46:49, 0.000000, 0.000000, 15.884662
06/29/16_08:46:50, 0.000000, 0.000000, 16.862178
06/29/16_08:46:52, 0.000000, 0.000000, 15.884662
06/29/16_08:46:53, 0.000000, 0.000000, 15.884662
06/29/16_08:46:55, 0.000000, 0.000000, 15.884662
06/29/16_08:46:56, 0.000000, 0.000000, 14.907146
06/29/16_08:46:58, 0.000000, 0.000000, 15.884662
06/29/16_08:46:59, 0.000000, 0.000000, 22.727275
06/29/16_08:47:01, 0.000000, 0.000000, 15.884662
06/29/16_08:47:02, 0.000000, 0.000000, 16.862178
06/29/16_08:47:04, 0.000000, 0.000000, 16.862178
06/29/16_08:47:05, 0.000000, 0.000000, 16.862178
06/29/16_08:47:07, 0.000000, 0.000000, 17.839694
06/29/16_08:47:08, 0.000000, 0.000000, 17.839694
06/29/16_08:47:10, 0.000000, 0.000000, 16.862178
06/29/16_08:47:11, 0.000000, 0.000000, 17.839694
06/29/16_08:47:13, 0.000000, 0.000000, 17.839694
06/29/16_08:47:14, 0.000000, 0.000000, 17.839694
06/29/16_08:47:16, 0.000000, 0.000000, 17.839694
06/29/16_08:47:17, 0.000000, 0.000000, 18.817211
06/29/16_08:47:19, 0.000000, 0.000000, 17.839694
06/29/16_08:47:20, 0.000000, 0.000188, 18.817211
06/29/16_08:47:22, 0.000000, 0.000000, 17.839694
06/29/16_08:47:23, 0.000000, 0.000000, 18.817211
06/29/16_08:47:24, 0.000000, 0.000000, 20.772243
06/29/16_08:47:26, 0.000000, 0.000000, 18.817211
06/29/16_08:47:27, 0.000000, 0.000000, 18.817211
06/29/16_08:47:29, 0.000000, 0.000000, 17.839694
06/29/16_08:47:31, 0.000000, 0.000000, 16.862178
06/29/16_08:47:32, 0.000000, 0.000000, 16.862178
06/29/16_08:47:34, 0.000000, 0.000000, 16.862178
06/29/16_08:47:35, 0.000000, 0.000000, 16.862178
06/29/16_08:47:37, 0.000000, 0.000000, 16.862178
06/29/16_08:47:38, 0.000000, 0.000000, 16.862178
06/29/16_08:47:40, 0.000000, 0.000000, 16.862178
06/29/16_08:47:41, 0.000000, 0.000000, 15.884662
06/29/16_08:47:43, 0.000000, 0.000000, 16.862178
06/29/16_08:47:44, 0.000000, 0.000000, 15.884662
06/29/16_08:47:46, 0.000000, 0.000000, 16.862178
06/29/16_08:47:47, 0.000000, 0.000000, 16.862178
06/29/16_08:47:49, 0.000000, 0.000000, 15.884662
06/29/16_08:47:50, 0.000000, 0.000000, 16.862178
06/29/16_08:47:52, 0.000000, 0.000000, 15.884662
06/29/16_08:47:53, 0.000000, 0.000000, 15.884662
06/29/16_08:47:55, 0.000000, 0.000000, 16.862178
06/29/16_08:47:56, 0.000000, 0.000000, 16.862178
06/29/16_08:47:58, 0.000000, 0.000000, 16.862178
06/29/16_08:47:59, 0.000000, 0.000000, 16.862178
06/29/16_08:48:01, 0.000000, 0.000000, 16.862178
06/29/16_08:48:02, 0.000000, 0.000000, 16.862178
06/29/16_08:48:04, 0.000000, 0.000000, 17.839694
06/29/16_08:48:05, 0.000000, 0.000000, 17.839694
06/29/16_08:48:07, 0.000000, 0.000000, 17.839694
06/29/16_08:48:08, 0.000000, 0.000000, 16.862178
06/29/16_08:48:10, 0.000000, 0.000000, 16.862178
06/29/16_08:48:11, 0.000000, 0.000000, 16.862178
06/29/16_08:48:13, 0.000000, 0.000000, 17.839694
06/29/16_08:48:14, 0.000000, 0.000000, 17.839694
06/29/16_08:48:16, 0.000000, 0.000000, 17.839694
06/29/16_08:48:17, 0.000000, 0.000000, 21.749759
06/29/16_08:48:19, 0.000000, 0.000000, 20.772243
06/29/16_08:48:20, 0.000000, 0.000000, 19.794727
06/29/16_08:48:22, 0.000000, 0.000000, 18.817211
06/29/16_08:48:23, 0.000000, 0.000000, 17.839694
06/29/16_08:48:25, 0.000000, 0.000000, 17.839694
06/29/16_08:48:26, 0.000188, 0.000000, 18.817211
06/29/16_08:48:28, 0.000000, 0.000000, 17.839694
06/29/16_08:48:29, 0.000000, 0.000000, 18.817211
06/29/16_08:48:31, 0.000000, 0.000000, 18.817211
06/29/16_08:48:32, 0.000000, 0.000000, 18.817211
06/29/16_08:48:34, 0.000000, 0.000000, 17.839694
06/29/16_08:48:35, 0.000000, 0.000000, 17.839694
06/29/16_08:48:37, 0.000000, 0.000000, 17.839694
06/29/16_08:48:38, 0.000188, 0.000000, 17.839694
06/29/16_08:48:40, 0.001125, 0.000000, 17.839694
06/29/16_08:48:41, 0.001312, 0.000000, 17.839694
06/29/16_08:48:43, 0.000375, 0.000000, 16.862178
06/29/16_08:48:44, 0.000000, 0.000000, 17.839694
06/29/16_08:48:46, 0.000000, 0.000000, 17.839694
06/29/16_08:48:47, 0.000000, 0.000000, 17.839694
06/29/16_08:48:49, 0.000000, 0.000000, 16.862178
06/29/16_08:48:51, 0.000000, 0.000000, 17.839694
06/29/16_08:48:52, 0.000000, 0.000000, 16.862178
06/29/16_08:48:54, 0.000000, 0.000000, 16.862178
06/29/16_08:48:55, 0.000000, 0.000000, 16.862178
06/29/16_08:48:57, 0.000000, 0.000000, 16.862178
06/29/16_08:48:58, 0.000000, 0.000000, 16.862178
06/29/16_08:49:00, 0.000000, 0.000000, 17.839694
06/29/16_08:49:02, 0.000000, 0.000000, 16.862178
06/29/16_08:49:03, 0.000000, 0.000000, 16.862178
06/29/16_08:49:05, 0.000000, 0.000000, 15.884662
06/29/16_08:49:06, 0.000000, 0.000000, 16.862178
06/29/16_08:49:08, 0.000000, 0.000000, 15.884662
06/29/16_08:49:09, 0.000000, 0.000000, 16.862178
06/29/16_08:49:10, 0.000000, 0.000000, 15.884662
06/29/16_08:49:12, 0.000000, 0.000000, 15.884662
06/29/16_08:49:14, 0.000000, 0.000000, 15.884662
06/29/16_08:49:15, 0.000000, 0.000000, 16.862178
06/29/16_08:49:17, 0.000000, 0.000000, 16.862178
06/29/16_08:49:18, 0.000000, 0.000000, 16.862178
06/29/16_08:49:20, 0.000000, 0.000000, 16.862178
06/29/16_08:49:21, 0.000000, 0.000000, 16.862178
06/29/16_08:49:23, 0.000000, 0.000000, 16.862178
06/29/16_08:49:24, 0.000000, 0.000000, 16.862178
06/29/16_08:49:26, 0.000000, 0.000000, 15.884662
06/29/16_08:49:27, 0.000000, 0.000000, 15.884662
06/29/16_08:49:28, 0.000000, 0.000000, 16.862178
06/29/16_08:49:30, 0.000000, 0.000000, 16.862178
06/29/16_08:49:32, 0.000000, 0.000000, 16.862178
06/29/16_08:49:33, 0.000000, 0.000000, 16.862178
06/29/16_08:49:35, 0.000000, 0.000000, 14.907146
06/29/16_08:49:36, 0.000000, 0.000000, 16.862178
06/29/16_08:49:38, 0.000000, 0.000000, 16.862178
06/29/16_08:49:39, 0.000000, 0.000000, 15.884662
06/29/16_08:49:41, 0.000000, 0.000000, 16.862178
